Month,Day,Year,SurveyDay,Trapline,Row,TrapNum,Species,Mass,Sex,RepCon,TagNum
5,18,2017,1,5,C,3,CLEAR,.,.,.,.
5,18,2017,1,5,C,4,ST,.,.,.,.
5,18,2017,1,5,C,5,CLEAR,.,.,.,.
5,18,2017,1,5,C,6,CLEAR,.,.,.,.
5,19,2017,2,5,A,1,CLEAR,.,.,.,.
5,19,2017,2,5,A,2,CLEAR,.,.,.,.
5,19,2017,2,5,A,3,CLEAR,.,.,.,.
5,19,2017,2,5,A,4,CLEAR,.,.,.,.
5,19,2017,2,5,A,5,CLEAR,.,.,.,.
5,19,2017,2,5,A,6,CLEAR,.,.,.,.
5,19,2017,2,5,B,1,CLEAR,.,.,.,.
5,19,2017,2,5,B,2,CLEAR,.,.,.,.
5,19,2017,2,5,B,3,CLEAR,.,.,.,.
5,19,2017,2,5,B,4,CLEAR,.,.,.,.
5,19,2017,2,5,B,5,ST,.,.,.,.
5,19,2017,2,5,B,6,CLEAR,.,.,.,.
5,19,2017,2,5,C,1,CLEAR,.,.,.,.
5,19,2017,2,5,C,2,CLEAR,.,.,.,.
5,19,2017,2,5,C,3,CLEAR,.,.,.,.
5,19,2017,2,5,C,4,CLEAR,.,.,.,.
5,19,2017,2,5,C,5,CLEAR,.,.,.,.
5,19,2017,2,5,C,6,R,.,.,.,.
5,20,2017,3,5,A,1,CLEAR,.,.,.,.
5,20,2017,3,5,A,2,CLEAR,.,.,.,.
5,20,2017,3,5,A,3,CLEAR,.,.,.,.
5,20,2017,3,5,A,4,CLEAR,.,.,.,.
5,20,2017,3,5,A,5,CLEAR,.,.,.,.
5,20,2017,3,5,A,6,CLEAR,.,.,.,.
5,20,2017,3,5,B,1,CLEAR,.,.,.,.
5,20,2017,3,5,B,2,CLEAR,.,.,.,.
5,20,2017,3,5,B,3,CLEAR,.,.,.,.
5,20,2017,3,5,B,4,CLEAR,.,.,.,.
5,20,2017,3,5,B,5,CLEAR,.,.,.,.
5,20,2017,3,5,B,6,CLEAR,.,.,.,.
5,20,2017,3,5,C,1,CLEAR,.,.,.,.
5,20,2017,3,5,C,2,CLEAR,.,.,.,.
5,20,2017,3,5,C,3,CLEAR,.,.,.,.
5,20,2017,3,5,C,4,CLEAR,.,.,.,.
5,20,2017,3,5,C,5,CLEAR,.,.,.,.
5,20,2017,3,5,C,6,CLEAR,.,.,.,.
5,18,2017,1,6,A,1,CLEAR,.,.,.,.
5,18,2017,1,6,A,2,CLEAR,.,.,.,.
5,18,2017,1,6,A,3,CLEAR,.,.,.,.
5,18,2017,1,6,A,4,CLEAR,.,.,.,.
5,18,2017,1,6,A,5,CLEAR,.,.,.,.
5,18,2017,1,6,A,6,CLEAR,.,.,.,.
5,18,2017,1,6,B,1,CLEAR,.,.,.,.
5,18,2017,1,6,B,2,CLEAR,.,.,.,.
5,18,2017,1,6,B,3,CLEAR,.,.,.,.
5,18,2017,1,6,B,4,CLEAR,.,.,.,.
5,18,2017,1,6,B,5,CLEAR,.,.,.,.
5,18,2017,1,6,B,6,CLEAR,.,.,.,.
5,18,2017,1,6,C,1,CLEAR,.,.,.,.
5,18,2017,1,6,C,2,CLEAR,.,.,.,.
5,18,2017,1,6,C,3,CLEAR,.,.,.,.
5,18,2017,1,6,C,4,CLEAR,.,.,.,.
5,18,2017,1,6,C,5,CLEAR,.,.,.,.
5,18,2017,1,6,C,6,CLEAR,.,.,.,.
5,19,2017,2,6,A,1,CLEAR,.,.,.,.
5,19,2017,2,6,A,2,CLEAR,.,.,.,.
5,19,2017,2,6,A,3,CLEAR,.,.,.,.
5,19,2017,2,6,A,4,CLEAR,.,.,.,.
5,19,2017,2,6,A,5,CLEAR,.,.,.,.
5,19,2017,2,6,A,6,CLEAR,.,.,.,.
5,19,2017,2,6,B,1,CLEAR,.,.,.,.
5,19,2017,2,6,B,2,CLEAR,.,.,.,.
5,19,2017,2,6,B,3,CLEAR,.,.,.,.
5,19,2017,2,6,B,4,BM,.,.,.,.
5,19,2017,2,6,B,5,CLEAR,.,.,.,.
5,19,2017,2,6,B,6,CLEAR,.,.,.,.
5,19,2017,2,6,C,1,CLEAR,.,.,.,.
5,19,2017,2,6,C,2,CLEAR,.,.,.,.
5,19,2017,2,6,C,3,CLEAR,.,.,.,.
5,19,2017,2,6,C,4,BM,.,.,.,.
5,19,2017,2,6,C,5,CLEAR,.,.,.,.
5,19,2017,2,6,C,6,CLEAR,.,.,.,.
5,20,2017,3,6,A,1,CLEAR,.,.,.,.
5,20,2017,3,6,A,2,CLEAR,.,.,.,.
5,20,2017,3,6,A,3,CLEAR,.,.,.,.
5,20,2017,3,6,A,4,CLEAR,.,.,.,.
5,20,2017,3,6,A,5,PERMAN,24.05,M,ADULT,4
5,20,2017,3,6,A,6,CLEAR,.,.,.,.
5,20,2017,3,6,B,1,CLEAR,.,.,.,.
5,20,2017,3,6,B,2,CLEAR,.,.,.,.
5,20,2017,3,6,B,3,CLEAR,.,.,.,.
5,20,2017,3,6,B,4,CLEAR,.,.,.,.
5,20,2017,3,6,B,5,CLEAR,.,.,.,.
5,20,2017,3,6,B,6,CLEAR,.,.,.,.
5,20,2017,3,6,C,1,CLEAR,.,.,.,.
5,20,2017,3,6,C,2,CLEAR,.,.,.,.
5,20,2017,3,6,C,3,CLEAR,.,.,.,.
5,20,2017,3,6,C,4,CLEAR,.,.,.,.
5,20,2017,3,6,C,5,CLEAR,.,.,.,.
5,20,2017,3,6,C,6,CLEAR,.,.,.,.
